x	y	RindeSoja	Elevacion	CEa30	CEa90	RindeMaiz	NDVI_1	NDVI_2	NDVI_3
509331.469	6290704.516	3.32914	138.302	51.1771	46.9681	1.24045	0.37931	0.471715	0.132075
509351.469	6290704.516	3.95984	138.391	49.5058	47.5073	1.24146	0.37931	0.471715	0.144231
509371.469	6290704.516	3.81135	138.532	47.8253	46.2253	1.39971	0.340909	0.45269	0.127451
509391.469	6290704.516	3.38364	138.71	46.6472	44.1815	1.41732	0.340909	0.458067	0.13
509311.469	6290684.516	3.36007	138.379	54.4636	44.8746	1.07565	0.406593	0.440365	0.114155
509331.469	6290684.516	3.09532	138.206	50.9797	46.5575	1.03507	0.395349	0.447907	0.141509
509351.469	6290684.516	3.67244	138.285	50.3515	47.9913	1.30533	0.395349	0.447907	0.142857
509371.469	6290684.516	3.31417	138.386	50.6052	46.2256	1.15064	0.333333	0.433846	0.126214
509391.469	6290684.516	2.82849	138.542	49.0094	44.1996	1.35991	0.333333	0.444558	0.127451
509411.469	6290684.516	1.59024	138.689	46.4837	42.9043	1.61551	0.333333	0.444558	0.131707
509431.469	6290684.516	1.88962	138.813	45.5378	42.5291	1.76564	0.318182	0.437515	0.127451
509451.469	6290684.516	2.27411	138.897	46.8198	42.0907	1.35518	0.318182	0.452553	0.124378
509471.469	6290684.516	2.2113	138.967	48.4698	41.9553	1.43869	0.318182	0.452553	0.124378
509311.469	6290664.516	3.37685	138.235	54.2631	45.3053	1.36985	0.393258	0.458677	0.115207
509331.469	6290664.516	3.3647	138.145	51.3679	46.7706	1.17357	0.388235	0.446352	0.138756
509351.469	6290664.516	4.07673	138.21	51.2815	48.3307	0.996969	0.388235	0.446352	0.130435
509371.469	6290664.516	3.56559	138.31	51.5768	45.6899	1.11407	0.348837	0.432203	0.131707
509391.469	6290664.516	2.39261	138.449	50.1299	44.2893	1.0365	0.356322	0.444141	0.137255
509411.469	6290664.516	1.89894	138.564	48.4235	43.4403	1.34996	0.356322	0.444141	0.135922
509431.469	6290664.516	2.05027	138.647	47.492	43.7437	1.78539	0.356322	0.433974	0.126214
509451.469	6290664.516	2.17358	138.679	46.812	42.6223	2.02836	0.357143	0.454393	0.127451
509471.469	6290664.516	2.23434	138.706	46.3724	42.1489	1.98315	0.357143	0.454393	0.127451
509491.469	6290664.516	2.24548	138.747	47.0375	42.5946	1.46602	0.341176	0.441201	0.121951
509511.469	6290664.516	2.00423	138.755	47.1056	43.378	1.31081	0.295455	0.416621	0.133005
509531.469	6290664.516	1.65642	138.815	46.4426	43.3313	2.26378	0.295455	0.416621	0.128713
509551.469	6290664.516	1.84505	138.773	47.578	43.3946	1.50052	0.268817	0.396298	0.133005
509571.469	6290664.516	2.31736	138.616	48.3471	42.8742	1.86665	0.326316	0.410247	0.142857
509311.469	6290644.516	3.50265	138.095	52.5516	45.6192	1.27419	0.393258	0.458677	0.125581
509331.469	6290644.516	3.59452	138.07	49.3594	47.3148	1.31877	0.388235	0.446352	0.132075
509351.469	6290644.516	3.43341	138.136	50.2777	48.6738	0.998161	0.388235	0.446352	0.126214
509371.469	6290644.516	2.74404	138.219	48.5817	45.3229	1.4674	0.348837	0.432203	0.127451
509391.469	6290644.516	1.36582	138.345	48.9642	43.8586	1.33124	0.356322	0.444141	0.131707
509411.469	6290644.516	1.57998	138.436	49.3203	44.4803	1.1961	0.356322	0.444141	0.131707
509431.469	6290644.516	1.54045	138.484	49.2325	44.7049	1.38535	0.356322	0.433974	0.126214
509451.469	6290644.516	2.00831	138.502	48.4627	42.8703	1.16571	0.357143	0.454393	0.131707
509471.469	6290644.516	2.36769	138.511	47.7033	42.2665	1.04715	0.357143	0.454393	0.121951
509491.469	6290644.516	2.01728	138.549	49.0198	43.215	1.22858	0.341176	0.441201	0.117647
509511.469	6290644.516	1.40002	138.62	46.5832	43.3344	1.41904	0.295455	0.416621	0.127451
509531.469	6290644.516	1.70985	138.761	45.3839	42.6401	2.69951	0.295455	0.416621	0.131707
509551.469	6290644.516	1.44033	138.843	45.2354	42.4555	3.37893	0.268817	0.396298	0.135922
509571.469	6290644.516	1.25499	138.71	46.7428	42.5664	3.47944	0.326316	0.410247	0.144231
509591.469	6290644.516	1.35539	138.254	46.9845	42.8646	3.11145	0.326316	0.410247	0.12381
509611.469	6290644.516	2.57913	137.668	48.3105	45.6255	2.8709	0.465347	0.456394	0.126214
509631.469	6290644.516	3.65754	137.15	52.703	52.2737	3.26806	0.54955	0.52205	0.133005
509651.469	6290644.516	5.03497	136.749	51.4767	52.7453	7.46589	0.54955	0.52205	0.13
509671.469	6290644.516	4.85621	136.559	48.5936	49.8576	8.77988	0.565217	0.575139	0.134328
509311.469	6290624.516	3.65736	138.036	52.6398	45.9272	1.19677	0.422222	0.478316	0.141509
509331.469	6290624.516	3.75699	138.036	51.125	47.8394	1.04647	0.402299	0.466653	0.129187
509351.469	6290624.516	3.44006	138.093	50.6967	47.7655	1.05149	0.402299	0.466653	0.140097
509371.469	6290624.516	2.56563	138.156	48.5378	44.4773	1.23832	0.37931	0.439053	0.125
509391.469	6290624.516	1.35185	138.24	49.8407	44.3945	1.36702	0.393258	0.432926	0.130435
509411.469	6290624.516	1.26336	138.291	50.4953	45.5758	1.88264	0.393258	0.432926	0.125
509431.469	6290624.516	1.35305	138.305	49.7374	45.0631	1.80698	0.37931	0.433743	0.131707
509451.469	6290624.516	1.78956	138.311	48.453	43.353	1.25382	0.348837	0.445577	0.131707
509471.469	6290624.516	1.84354	138.335	47.3683	43.6241	0.872596	0.348837	0.445577	0.121951
509491.469	6290624.516	1.67502	138.404	46.5594	44.8963	1.04504	0.364706	0.43236	0.127451
509511.469	6290624.516	1.25903	138.521	46.3563	44.5872	1.27463	0.310345	0.408466	0.127451
509531.469	6290624.516	1.26534	138.742	44.9737	42.4164	2.27915	0.310345	0.408466	0.135922
509551.469	6290624.516	1.18996	138.927	45.1729	41.5904	2.84014	0.266667	0.394118	0.134615
509571.469	6290624.516	1.12782	138.819	48.181	41.9831	3.25746	0.298969	0.40176	0.134615
509591.469	6290624.516	1.17511	138.348	48.3695	42.1449	3.44369	0.298969	0.40176	0.129187
509611.469	6290624.516	2.41267	137.695	49.4377	45.6702	3.61069	0.465347	0.434339	0.125
509631.469	6290624.516	3.42791	137.133	51.1402	51.906	3.77495	0.495495	0.493469	0.131707
509651.469	6290624.516	5.20595	136.704	50.3567	52.472	5.98061	0.495495	0.493469	0.142857
509671.469	6290624.516	5.96267	136.498	48.1878	49.8861	8.00434	0.517857	0.556376	0.141463
509691.469	6290624.516	5.87121	136.441	46.7526	49.532	8.68098	0.531532	0.513324	0.157895
509711.469	6290624.516	6.08335	136.52	49.443	51.7564	8.9382	0.531532	0.513324	0.15942
509731.469	6290624.516	5.46607	136.693	52.6307	52.9927	8.34642	0.490566	0.461242	0.141463
509751.469	6290624.516	4.62785	136.963	53.6459	48.2659	2.54727	0.434783	0.448925	0.134328
509291.469	6290604.516	3.24223	138.111	58.1737	47.2683	1.4986	0.425532	0.444994	0.123288
509311.469	6290604.516	3.89338	138.018	53.6881	45.6625	1.19824	0.377778	0.47571	0.13615
509331.469	6290604.516	3.74597	138.045	52.1481	47.6806	1.0284	0.386364	0.466161	0.134615
