"VUT" "x" "y" "d_bpriv" "d_centro" "d_educ" "d_espverd" "d_ffcc" "d_supcom" "d_indust" "d_ruta" "d_viasprin" "d_viassec" "d_depre" "d_front" "g_comercio" "g_por_bald" "g_porc_edi"
"1" 550 4585538.484 6529538.978 2096.10525999999 6218.37291999999 405.97746 150.12271 1543.26987 6247.06055999999 7280.95367999999 2291.16271 4978.67245999999 261.01967 7021.62179 6246.09046 0 0.7673 0.04118
"2" 793 4585099.92899999 6529272.353 1846.77692 5994.17922999999 918.69988 589.11126 1033.23628 5902.24215 6934.68847 1815.11044999999 4799.19904 624.094489999999 6700.0123 6318.48051 0 0.84606 0.01885
"3" 1842 4584018.67899999 6524030.864 0 1999.01248 544.266229999999 312.7105 552.405129999999 584.78965 1583.06302 606.22207 539.06437 668.55447 1479.91175999999 4921.23863999999 0 0.5525 0.07037
"4" 1655 4584180.60599999 6524247.84499999 81.6318899999999 1940.84255 442.690089999999 66.25779 818.58928 797.375189999999 1827.22002999999 723.66989 783.495649999999 549.03479 1658.62053999999 4826.59868999999 0 0.65969 0.06008
"5" 1180 4584086.71399999 6524244.54 0 2022.5777 524.51462 88.48818 775.708719999999 791.449439999999 1805.8531 632.13656 761.913779999999 640.540529999999 1671.58933999999 4915.67694 0 0.65657 0.05494
"6" 889 4583382.887 6523880.622 0 2567.73531 1188.77932 858.75472 543.79222 844.52714 1312.91987999999 11.73536 267.5242 1262.85942999999 1643.49697999999 5492.04234999999 0 0.63667 0.04903
"7" 1054 4583518.16399999 6524116.098 0 2499.49575999999 1048.74065999999 634.16525 651.98121 889.398209999999 1570.07898999999 98.6627199999999 524.88769 1176.13572999999 1758.91362 5426.14529 0 0.51357 0.0686
"8" 1337 4583648.06099999 6523997.28799999 0 2339.95001 915.257939999999 572.936199999999 493.85235 714.451059999999 1478.5777 249.175229999999 433.740049999999 1025.53335999999 1591.0625 5268.92738999999 0 0.55879 0.06345
"9" 967 4583748.5 6523799.525 0 2193.23603 819.40434 643.684409999999 277.65014 501.464159999999 1303.92173 386.138509999999 259.405849999999 888.452409999999 1369.43784 5118.49596999999 0 0.6169 0.05706
"10" 1572 4583796.348 6523786.70399999 0 2143.74845999999 770.207419999999 628.63584 260.918999999999 458.60291 1300.57862 435.56556 256.178879999999 839.02386 1335.2308 5068.97970999999 0 0.58852 0.06128
"11" 948 4583570.88399999 6523659.82899999 0 2336.46819999999 986.79024 862.300669999999 261.1059 578.592679999999 1132.56828999999 239.062919999999 87.70672 1035.44897999999 1353.59026999999 5248.76342999999 0 0.60143 0.05616
"12" 941 4584389.807 6525517.37299999 28.62714 2652.47240999999 1502.73148999999 365.345939999999 1158.65164 2082.58624 3113.25417 701.370469999999 1996.03997 595.479919999999 2910.75297 4982.27019 0 0.59111 0.06363
"13" 1054 4584382.347 6525225.25299999 320.17353 2421.94180999999 1214.11015999999 597.147259999999 1284.96971 1792.37044999999 2825.18847999999 746.51295 1781.48313 545.95131 2618.75288 4906.95169999999 0 0.7529 0.04193
"14" 1212 4584311.10599999 6524995.08499999 517.67128 2294.91645999999 1002.57663999999 521.598049999999 1444.14163 1554.48727 2585.59767 717.781799999999 1541.83313999999 570.58311 2390.83804999999 4913.56797999999 0 0.83484 0.03695
