g_gas	g_agua	g_cloaca	g_perc_baldio	g_comercio	g_sellos	g_perc_edif	d_bpriv	d_centro	d_educ	d_espverd	d_ffcc	d_supcom	d_indust	d_ruta	d_viasprin	d_viassec	d_depre	d_front	x	y	g_vial	d_sube	cod_baja	d_baja
0	1	0	0,304920634921	3	0,01249	0,290834920635	4146,65954472999	1284,74755065999	430,476517095	295,950374289	105,986560772	4305,69587072	4046,97448230999	5329,35905001999	868,029636171999	1,4647236152E-5	3596,58319094999	91,9595245019	4588333,82191	6521576,33600999	1	1284,74755065999	d_front	91,9595263423258
0	1	1	0,164086021505	2	0,01322	0,457005376344	2284,63957059999	1104,83634938	592,459569447	266,866694433	340,490710082	1709,58351642999	1240,24599136999	2522,78049126999	64,9361138243999	223,448367490999	854,288043270999	2869,0268657	4585536,11144	6521895,48211	1	1104,83634938	d_depre	854,288013166986
1	1	1	0,126283185841	4	0,01014	0,565277876106	1985,44100533999	653,279811509999	171,816217469	147,137784291999	124,484557897	1438,71269209999	1188,61190959	2444,25368032	142,020620925999	163,249672362	724,007967495999	2985,74851715	4585549,98634	6522366,57574	1	653,279811509999	d_depre	724,007924364222
1	1	1	0,205753424658	0	0,01393	0,402698630137	2204,98549429	1236,25250357999	649,203462792999	339,794035085	449,028351145999	1624,85242870999	1057,78374867999	2340,3420617	247,544226705999	330,827811720999	747,462868573	3040,76322832999	4585336,11203	6521824,05728999	0,333333333333	1236,25250357999	d_depre	747,462840987157
1	1	1	0,173209876543	1	0,01195	0,488592592593	2156,43922402999	1188,55481568999	594,678453559999	319,845300117	396,151055289999	1576,69887459	1038,42463068	2320,97134311999	266,838508859999	277,825703694	701,47812937	3064,89308547	4585327,33205	6521879,74713	0	1188,55481568999	d_depre	701,47818441592
0	1	1	0,16696969697	2	0,01277	0,454849494949	2298,23725259999	1079,93182920999	586,157161967999	234,539788944	316,961977175	1724,78136702	1272,71709671	2555,24643568999	32,4307803434	200,204403582999	875,854770353	2838,85065634	4585572,51633999	6521912,32706999	0,81894244619	1079,93182920999	d_depre	875,854722485535
0	1	1	0,143428571429	3	0,01248	0,52364952381	2211,19321316	971,109421487999	474,477471940999	292,152765552	206,5255567	1641,77938440999	1240,33940456999	2522,84455328	64,4568795769999	89,4899824010999	812,255146961	2881,23022069999	4585562,04865	6522026,91254999	0,81894244619	971,109421487999	d_depre	812,255125221108
1	1	1	0,1484375	1	0,01149	0,529223958333	2122,96673061	1106,54319102999	517,584205003999	338,806713202	316,452947393999	1544,94534767999	1058,12256443999	2340,65183071	247,024764078999	198,253541602	678,708241916	3052,57481628	4585362,02194	6521954,07691999	0,333333333333	1106,54319102999	d_depre	678,708219206002
1	1	1	0,147978723404	3	0,01167	0,541970212766	2082,33943567	1118,70897721999	513,144876035	287,853303440999	316,486072507	1503,49467380999	1007,15354167999	2289,68276191999	297,993506025999	197,899772533	633,48884438	3103,3491456	4585312,05209	6521964,12188	0	1118,70897721999	d_depre	633,488843149757
1	1	1	0,1486	1	0,01154	0,544709	2071,80876454	1052,28319018999	455,313994234999	326,701441375	256,094836219999	1495,06700952	1039,16822475	2321,68425191	265,909808023999	137,773989954999	636,240896677	3076,98695855	4585355,08196	6522017,02673	0	1052,28319018999	d_depre	636,240952603668
1	1	1	0,141734693878	2	0,01113	0,550184693878	2020,91432097	1069,52841310999	452,543811598999	265,367928828	256,138716814	1442,91559469999	976,108919841999	2258,62488062	328,968716146	137,313244427	578,407005629999	3139,80933211999	4585293,26712999	6522029,49669	0	1069,52841310999	d_depre	578,406972309612
1	1	1	0,142523364486	1	0,01197	0,551246728972	2052,84238400999	989,084381351	398,261162463999	315,117908689999	195,712908034	1478,73911047	1058,39348693	2340,89629954	246,091798742999	77,5144593244999	633,942198253	3063,38743905999	4585385,58186	6522072,49658	0,499965394751	989,084381351	d_depre	633,942222574253
1	1	1	0,135523809524	5	0,01094	0,550293333333	2011,37997027	1002,48781724	392,542649387999	312,029091563999	195,747480526	1435,97883090999	1008,12360291	2290,62637060999	296,341942424	77,1673679568	585,960482831	3113,46360370999	4585336,297	6522082,40153999	0,249948092126	1002,48781724	d_depre	585,960501302672
1	1	1	0,125619047619	5	0,00931	0,556761904762	1963,70662728999	975,616892873999	353,744373676	273,547631249999	157,3083521	1389,01462612	976,927491324	2259,42179944999	326,596530683	38,4878163265	544,873148786999	3148,0790864	4585313,13681	6522126,30943	0,61832741221	975,616892873999	d_depre	544,873154990493
0,5	1	0,958701972767	0,122056074766	2	0,01203	0,564364485981	2138,42313557999	884,872604292999	382,784786505999	303,359968612999	117,30447438	1573,11361375	1209,11820987	2491,55251299	93,5311223773999	1,013190105E-5	764,627314384999	2920,52463648	4585548,61704999	6522120,46009	1	884,872604292999	d_depre	764,627356046215
