x	y	elev	om	ffreq	soil	dist.m
181072	333611	7.909	13.60	1	1	50
181025	333558	6.983	14.00	1	1	30
181165	333537	7.8	13.00	1	1	150
181298	333484	7.655	8.00	1	2	270
181307	333330	7.48	8.70	1	2	380
181390	333260	7.791	7.80	1	2	470
181165	333370	8.217	9.20	1	2	240
181027	333363	8.49	9.50	1	1	120
181060	333231	8.668	10.60	1	1	240
181232	333168	9.049	6.30	1	2	420
181191	333115	9.015	6.40	1	2	400
181032	333031	9.073	9.00	1	1	300
180874	333339	7.32	15.40	1	1	20
180969	333252	8.815	8.40	1	1	130
181011	333161	8.937	9.10	1	1	220
180830	333246	7.702	16.20	1	1	10
180763	333104	7.16	16.00	1	1	10
180694	332972	7.1	16.00	1	1	10
180625	332847	7.02	13.70	1	1	10
180555	332707	6.86	14.80	1	1	10
180642	332708	8.908	10.20	1	1	80
180704	332717	8.99	7.20	1	1	140
180704	332664	8.83	7.20	1	1	160
181153	332925	9.02	7.00	1	2	440
181147	332823	8.976	6.90	1	2	490
181167	332778	8.973	6.30	1	2	530
181008	332777	8.507	5.60	1	2	400
180973	332687	8.743	4.40	1	2	400
180916	332753	8.973	5.30	1	2	330
181352	332946	9.043	4.80	1	2	630
181133	332570	8.688	2.60	1	2	570
180878	332489	8.727	1.00	1	2	390
180829	332450	8.328	2.40	1	2	360
180954	332399	7.971	1.90	1	2	500
180956	332318	7.809	3.10	1	2	550
180710	332330	6.986	1.60	1	2	340
180632	332445	7.756	3.50	1	2	210
180530	332538	7.784	8.10	1	1	60
180478	332578	7	7.90	1	1	10
180383	332476	6.92	9.50	1	1	20
180494	332330	7.516	1.40	1	2	170
180561	332193	8.18	2.4	1	2	320
180451	332175	8.694	2	1	2	260
180410	332031	9.28	2	1	2	360
180355	332299	7.94	5.1	1	2	100
180292	332157	6.36	5.3	1	2	200
180283	332014	7.78	4.5	1	2	320
180282	331861	8.18	4.9	1	2	480
180270	331707	9.42	4.5	1	2	660
180199	331591	8.867	5.5	1	2	690
180135	331552	8.292	3.4	1	2	710
180237	332351	8.06	11.1	1	1	10
180103	332297	7.98	12.3	1	1	10
179973	332255	7.9	16.5	1	1	10
179826	332217	7.74	13.9	1	1	10
179687	332161	7.552	8.1	1	1	20
179792	332035	7.76	3.1	1	1	200
179902	332113	6.74	5.8	1	1	140
180100	332213	6.68	10.2	1	1	70
179604	332059	7.4	12	1	1	20
179526	331936	7.44	14.1	1	1	10
179495	331770	7.36	14.5	1	1	10
179489	331633	7.2	14.8	1	1	20
179414	331494	7.22	13.3	1	1	10
179334	331366	7.36	15.2	1	1	20
179255	331264	5.18	11.4	1	1	20
179470	331125	5.8	9	1	1	270
179692	330933	7.64	3.6	1	1	560
179852	330801	6.32	6.9	1	1	750
179140	330955	5.76	7	1	1	80
179128	330867	6.48	6.2	1	1	130
179065	330864	6.48	6.5	1	1	110
179007	330727	6.32	5.7	1	1	200
179110	330758	6.32	7	1	1	260
179032	330645	6.16	7.3	1	1	270
179095	330636	6.56	8.2	1	1	320
179058	330510	6.9	4.3	1	1	360
178810	330666	7.54	4.4	1	1	80
178912	330779	6.42	8.2	1	1	100
178981	330924	6.28	8.5	1	1	70
179076	331005	6.34	9.6	1	1	20
180151	330353	7.307	17	1	1	50
179211	331175	5.7	12.8	1	1	80
181118	333214	7.72	5.9	1	2	290
179474	331304	7.932	2.9	2	2	160
179559	331423	7.82	4.5	2	1	160
179022	330873	8.575	10.7	2	1	140
178953	330742	8.536	9.4	2	1	150
178875	330516	8.504	9	2	1	220
178803	330349	8.659	7	2	1	280
179029	330394	7.633	6.5	2	1	450
178605	330406	8.538	9.4	2	1	70
178701	330557	7.68	10.2	2	1	70
179547	330245	7.564	6.4	2	1	340
179301	330179	7.76	7.6	2	1	470
179405	330567	7.653	7	2	1	630
179462	330766	7.951	5.6	2	1	460
179293	330797	8.176	6.5	2	1	320
179180	330710	8.468	6.6	2	1	320
179206	330398	8.41	5.9	2	1	540
179618	330458	7.61	6.5	2	1	420
179782	330540	7.792	6.4	2	1	380
179980	330773	8.76	7.2	2	2	500
180067	331185	9.879	6.6	2	3	760
180162	331387	9.097	4.3	2	2	750
180451	331473	9.095	5.3	2	3	1000
180328	331158	9.717	4.1	2	3	860
180276	330963	9.924	6.1	2	3	680
180114	330803	9.404	7.5	2	3	500
179881	330912	10.52	8.8	2	3	650
179774	330921	8.84	5.7	2	3	630
179657	331150	8.472	6.1	2	3	410
179731	331245	9.634	7.1	2	3	390
179717	331441	9.206	4.1	2	2	310
179446	331422	8.47	6	2	1	70
179524	331565	8.463	6.6	2	1	70
179644	331730	9.691	6.8	2	1	150
180321	330366	8.704	9.1	2	2	80
180162	331837	9.42	5.9	2	2	450
180029	331720	9.573	4.9	2	2	530
179797	331919	9.555	7.1	2	1	240
179642	331955	8.779	8.1	2	1	70
179849	332142	8.54	8.3	2	1	70
180265	332297	8.809	10	2	1	60
180107	332101	9.523	5.9	2	1	190
