long	lat	mud	bathy	dist	relief	slope
130.533	-11.183	97.45	-23	0.077782	1	0.03667
130.3	-10.983	97.34	-44	0.199625	1	0
131.995	-10.9	96.86	-41	0.25106	1	0.03667
129.246667	-14.411667	93.76	-38	0.11	22	2.073464
131	-11	83.33	-37	0.281003	1	0
127.666667	-14.166667	79.67	-28	0.019526	15	0.886859
128.8	-14.783333	78.6	-4	0.075	5	0.223054
129.971433	-12.349933	63.48	-49	0.495511	4	0.051859
127.75	-14.166667	61.98	-43	0.077782	1	0.11001
128.067	-13.367	60.48	-78	0.867975	1	0.11001
131.867	-11.083	59.78	-47	0.107384	2	0.163993
126.53	-12.2	49.26	-100	1.586037	1	0
128.2	-13.866667	48.86	-59	0.612148	0	0
126.314783	-13.39445	46.68	-101	0.540937	3	0.051859
126.333333	-13.065	44	-62	0.833205	6	0.18335
129.846083	-11.544767	43.02	-109	0.272029	65	3.619579
131.217	-11.033	41.2	-39	0.161903	1	0.03667
125	-13.467	40.42	-103	0.977001	2	0.07334
129.128333	-14.486667	39.13	-16	0.241919	3	0.279268
127.317	-13.917	38.4	-2	0.014577	4	0.279268
128.233	-13.4	37.26	-77	0.961665	0	0
128.716667	-14.666667	36.56	-13	0.198069	4	0.051859
128.317	-13.883	35.97	-59	0.688862	0	0
129.213333	-13.971667	34.22	-29	0.328415	1	0.115961
127.066667	-13.3	33.38	-90	0.4578	1	0.03667
126.53	-12.15	31.73	-74	1.634858	12	0.518578
129.6589	-10.43105	29.44	-96	1.027196	14	0.787289
129.85115	-11.557267	29.19	-151	0.260504	104	3.636353
126.461183	-13.385217	27.63	-77	0.493185	4	0.223054
125.900322	-13.37345	26.98	-73	0.56943	23	1.62715
131.7	-11	26.28	-54	0.238812	0	0
129.55725	-10.370767	24.53	-102	1.142027	29	1.60345
130.267	-12.367	24.48	-18	0.260012	2	0.081997
129.7014	-10.468117	24.28	-102	0.970699	19	1.229761
130.233	-11.033	23.86	-30	0.19623	7	0.591265
125.0358	-13.496333	23.85	-103	0.932071	3	0.115961
129.988333	-12.359267	23.58	-43	0.477579	1	0
130.233	-12.567	23.37	-20	0.156565	0	0
125.101917	-13.4198	23.01	-78	0.960055	2	0.081997
128.368333	-14.226667	23	-41	0.49359	1	0.081997
129.836183	-11.574417	22.87	-49	0.262797	22	0.846532
129.978583	-12.38885	22.84	-42	0.46463	1	0.03667
128.533333	-14.510833	22.65	-22	0.37769	4	0.234801
130.483	-12.35	21.94	-20	0.107848	10	0.295641
128.566667	-14.633333	21.87	-14	0.251794	4	0.259294
128.891667	-14.62	21.85	-14	0.245013	1	0.081997
129.89925	-11.065283	21.42	-76	0.461797	1	0
125.10475	-13.3626	21.34	-76	1.008988	3	0.155577
125.109017	-13.558617	21.33	-76	0.839751	3	0.186981
129.97015	-12.40465	21.18	-42	0.463499	2	0.103718
128.746667	-14.181667	21	-28	0.6456	1	0
130.017483	-12.386367	20.72	-40	0.436935	5	0.18335
129.959633	-12.400183	20.56	-43	0.474401	1	0
129.91725	-11.14005	20.42	-12	0.397846	35	2.462752
125.71	-13.371758	20.4	-116	0.64355	24	0.52502
128.729167	-14.529167	20.13	-19	0.332415	2	0.03667
125.162167	-13.415833	20.06	-83	0.935805	1	0.03667
129.837343	-11.5711	19.92	-62	0.265577	38	1.531021
129.678533	-10.312217	19.78	-103	1.101839	2	0.081997
125.206583	-13.415247	19.64	-83	0.915703	2	0.103718
125.166967	-13.50075	18.78	-83	0.858374	1	0.03667
130.020567	-12.368617	18.77	-40	0.447842	1	0.103718
129.824133	-11.5411	18.26	-108	0.293002	75	4.085999
129.975317	-12.288033	18.26	-42	0.468148	1	0
130.007167	-12.343183	18.22	-40	0.473451	1	0.081997
129.777767	-11.04115	17.98	-97	0.567021	21	1.244966
129.954533	-12.324217	17.88	-45	0.508484	2	0.115961
129.989817	-12.382717	17.69	-42	0.461553	0	0
130.0149	-12.310367	17.35	-41	0.486088	0	0
129.69115	-10.3499	17.28	-103	1.064947	13	1.03772
131.5	-11	17.04	-55	0.266094	2	0.081997
130.023183	-12.34875	16.93	-39	0.457193	0	0
129.868833	-11.093683	16.77	-79	0.463276	4	0.295641
130.05	-12.3995	16.74	-32	0.404042	1	0.03667
125.2248	-13.554367	16.73	-79	0.782704	1	0
125.404	-13.373083	16.6	-92	0.841476	3	0.151194
129.789317	-11	16.54	-76	0.586899	26	1.7462
130.000467	-12.287483	15.8	-42	0.464933	1	0.081997
129.996183	-12.338117	15.73	-42	0.48431	2	0.081997
129.328333	-14.101667	15.68	-20	0.155925	2	0.081997
129.8056	-11.12365	15.64	-97	0.492728	23	1.415194
129.953017	-12.3313	15.05	-45	0.516315	1	0.081997
129.605067	-10.398217	14.74	-95	1.088944	3	0.103718
128.95	-12.717	14.33	-87	1.204795	0	0
128.593333	-14.515	14.16	-21	0.365282	1	0.103718
129.867817	-11.579367	14.04	-166	0.23512	93	3.707375
129.951717	-12.289433	13.79	-42	0.474605	1	0
129.075	-14.416667	13.71	-18	0.282544	0	0
129.952517	-12.353167	13.26	-45	0.509571	1	0.081997
129.829683	-11.591633	12.25	-33	0.258675	17	0.601411
125.493667	-13.418133	12.14	-65	0.744585	1	0.03667
129.27	-14.221667	12.01	-19	0.143113	4	0.132215
129.575	-12.283333	12	-56	0.657609	2	0.132215
125.259	-13.595	11.98	-69	0.731198	1	0.081997
129.814533	-11.03555	11.86	-85	0.544518	29	1.334568
129.61645	-10.308433	11.77	-94	1.146039	4	0.14668
129.644583	-10.376683	11.77	-94	1.075639	8	0.368524
129.775	-11.716667	11	-47	0.251657	2	0
129.809083	-11.708717	10.84	-46	0.219829	3	0.132215
129.146667	-14.656667	10.73	-14	0.238812	8	0.327983
129.69085	-10.400767	10.55	-100	1.028728	2	0.18335
125.34975	-13.416813	10.45	-91	0.856012	16	1.173849
126.853333	-13.3	10	-80	0.445316	6	0.234801
129.028333	-14.513333	9.69	-16	0.344819	2	0.14668
128.766667	-14.675	8.89	-11	0.183882	1	0.03667
129.04	-14.5275	8.86	-16	0.337685	1	0
129.829	-11.15965	7.22	-71	0.451359	13	0.382841
129.841	-11.711633	7.18	-61	0.188182	7	0.259294
129.562967	-10.306667	7.11	-94	1.183113	14	1.19709
129.5542	-10.446767	6.88	-88	1.091014	6	0.197473
129.714333	-10.372383	6.17	-89	1.033259	4	0.18335
126.876667	-13.275	6	-82	0.468168	3	0.103718
125.105817	-13.502367	4.53	-77	0.888345	1	0
126.059667	-13.208863	4.09	-26	0.70516	2	0.115961
129.266667	-14.065	4	-22	0.226067	2	0.132215
129.768333	-13.496667	3.75	-16	0.157659	2	0.115961
128.516667	-14.578333	3.51	-15	0.3129	4	0.256688
129.058333	-14.67	3.4	-31	0.216463	27	0.592401
129.819283	-11.637633	3.29	-27	0.241997	10	0.52502
126.007017	-13.412513	1.24	-27	0.507013	3	0.163993
129.41	-14.163333	1.14	-8	0.054829	4	0.279268
129.293333	-14.105	1	-22	0.180451	2	0.151194
129.851373	-11.542733	0.9	-67	0.269502	51	3.933066
129.83335	-11.622383	0.71	-35	0.239909	23	1.008821
129.82675	-11.678083	0.4	-35	0.215783	11	0.545123
129.826	-11.589667	0.38	-36	0.262155	16	0.478108
129.849633	-11.539217	0.3	-74	0.273004	60	3.755214
129.8353	-11.62255	0.29	-39	0.237829	24	1.192591
129.831383	-11.652967	0.18	-24	0.223397	4	0.23192
129.8422	-11.64155	0.16	-21	0.220511	3	0.03667
129.824467	-11.677567	0.13	-37	0.218017	8	0.443077
128.653333	-14.528333	0.13	-12	0.345127	12	0.990671
129.838233	-11.54435	0.1	-156	0.280011	25	0.804184
129.265	-14.4	0.02	-19	0.093039	6	0.441557
128.216667	-12.035	0	-112	1.820448	0	0
130.8969	-12.5044	7.1539	0	0.216348	0	0
130.8968	-12.5041	6.7088	0	0.216348	0	0
130.8986	-12.5049	9.1906	0	0.217313	0	0
130.8982	-12.5049	8.3505	0	0.216348	0	0
130.8973	-12.5042	3.5079	0	0.216348	0	0
130.8977	-12.5049	4.5511	0	0.216348	0	0
130.9249	-12.5015	0.275	0	0.224903	0	0
130.9236	-12.502	0.664	0	0.224903	0	0
130.924	-12.5022	0.3978	0	0.224903	0	0
130.8913	-12.5017	0.5122	0	0.212161	0	0
130.8096	-12.4292	1.2755	-4	0.112971	9	0.07334
130.8092	-12.4294	0.1511	-4	0.112971	9	0.07334
130.8101	-12.4306	0.0745	-4	0.112971	9	0.07334
130.8097	-12.4307	0.0624	-4	0.112971	9	0.07334
130.9244	-12.5013	6.0645	0	0.224903	0	0
128.856895	-12.642402	19.78958806	-91	1.312119	1	0.081997
128.809787	-12.691025	4.395293031	-93	1.347447	3	0.081997
128.859362	-12.740028	7.952376695	-93	1.288648	0	0
128.917793	-12.715467	26.49492715	-86	1.237096	1	0.103718
128.901245	-12.670458	10.86638011	-88	1.261797	1	0.11001
128.890775	-12.715365	14.64920825	-89	1.264006	2	0.03667
128.926882	-12.725287	15.41511528	-86	1.225258	1	0.115961
128.863042	-12.770392	16.70235947	-92	1.281105	1	0.103718
128.951232	-12.796933	2.457878086	-86	1.18796	3	0.07334
128.93479	-12.845997	20.12454794	-85	1.199297	2	0.11001
129.281608	-12.402612	14.04140375	-45	0.955396	16	0.968718
129.9679	-12.313	14.14714109	-43	0.49402	0	0
129.8357	-11.6413	0.185367032	-20	0.226743	2	0.18335
129.6152	-11.3952	18.98042175	-66	0.54811	10	0.327983
129.9538	-12.4042	23.07449921	-43	0.475164	2	0.103718
129.9637	-12.4035	14.90162037	-43	0.468948	1	0.103718
129.9858	-12.4038	15.51885575	-42	0.451504	2	0.03667
129.9692	-12.3565	15.8658267	-45	0.492728	2	0.081997
129.9672	-12.3397	16.94722947	-45	0.505748	2	0.103718
129.9537	-12.3372	16.04973545	-45	0.516968	0	0
129.9794	-12.3032	29.04083563	-42	0.482247	1	0.03667
